Player,Pos,Team,APY,GS,QBrec,Att,TD%,Int%,Succ%,Y/G,Rate,QBR,Sk%,ANY/A,IAY/PA,Bad%,Prss%,OnTgt%,EPA/Play,Pass EPA,Rush EPA,ADoT,Time To Throw,SoS,Composite_Z,Final_Grade,Salary_Cluster,Contract_Tier,Market Value,APYM,Value Diff
Sam Howell,QB,PHI,1005400,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-0.4,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.0054,0.19
Anthony Richardson,QB,IND,8498508,0.0,nan,2.0,0.0,0.0,50.0,4.5,62.5,8.9,0.0,4.5,15.5,50.0,0.0,0.0,-0.61,-1.21,-2.43,15.5,2.27,1.8,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,8.498508,-7.3
Sam Hartman,QB,WAS,1017500,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.0175,0.18
Brett Rypien,QB,MIN,1170000,0.0,nan,0.0,0.0,0.0,0.0,0.0,55.8,0.0,100.0,-2.0,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.17,0.03
Mitchell Trubisky,QB,BUF,2625000,0.0,nan,35.0,11.4,0.0,60.0,78.3,137.0,91.5,0.0,11.23,7.4,2.9,0.0,14.3,0.43,25.63,-6.8,7.5,2.64,-2.3,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,2.625,-1.42
Drew Lock,QB,SEA,2500000,0.0,nan,3.0,0.0,0.0,33.3,3.0,78.5,5.7,0.0,5.0,1.7,0.0,0.0,100.0,-0.21,-0.89,-0.97,1.67,2.73,1.6,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,2.5,-1.3
Will Levis,QB,TEN,2385541,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,3.4,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,2.385541,-1.19
Case Keenum,QB,CHI,2250000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-1.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,2.25,-1.05
Nick Mullens,QB,JAX,2250000,0.0,nan,3.0,0.0,0.0,66.7,3.8,93.1,85.9,0.0,6.33,1.3,0.0,33.3,33.3,0.03,2.9,-2.46,1.33,1.77,0.6,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,2.25,-1.05
Jalen Milroe,QB,SEA,1566022,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,-2.15,0.0,-6.44,0.0,0.0,1.6,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.566022,-0.37
Brandon Allen,QB,TEN,1422500,0.0,nan,30.0,0.0,3.3,19.4,72.0,47.9,10.8,3.23,0.65,3.6,0.0,3.2,0.0,-0.78,-24.03,0.0,3.63,2.58,3.4,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.4225,-0.22
Kyle Allen,QB,DET,1270000,0.0,nan,2.0,0.0,0.0,0.0,0.0,39.6,4.8,0.0,0.0,5.0,0.0,0.0,100.0,-0.27,-1.36,0.0,5.0,2.32,-0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.27,-0.07
Teddy Bridgewater,QB,TB,1255000,0.0,nan,15.0,0.0,0.0,17.6,15.5,63.7,8.3,11.76,2.41,6.5,28.6,22.2,57.1,-0.63,-12.5,-0.02,7.0,2.22,0.8,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.255,-0.05
Jeff Driskel,QB,WAS,1255000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.255,-0.05
Joshua Dobbs,QB,NE,4000000,0.0,nan,10.0,0.0,0.0,30.0,16.3,87.5,72.5,0.0,6.5,11.4,20.0,0.0,40.0,-0.34,-0.07,-6.63,11.9,2.77,-4.5,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,4.0,-2.8
Easton Stick,QB,ATL,1170000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.17,0.03
Tyson Bagent,QB,CHI,5000000,0.0,nan,4.0,0.0,0.0,50.0,15.7,113.5,11.5,0.0,11.75,7.5,25.0,20.0,75.0,0.32,2.31,-0.37,7.5,3.04,-1.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,5.0,-3.8
Shane Buechele,QB,KC,1030000,0.0,nan,14.0,0.0,0.0,21.1,88.0,69.9,5.7,26.32,3.47,10.1,0.0,25.0,0.0,-0.38,-6.83,-0.83,10.62,2.56,-0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.03,0.17
John Wolford,QB,MIN,1170000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,0.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.17,0.03
Jarrett Stidham,QB,DEN,6000000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-1.8,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,6.0,-4.8
Stetson Bennett,QB,LAR,1134783,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,2.4,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.134783,0.07
Will Howard,QB,PIT,1112025,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-0.5,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.112025,0.09
Graham Mertz,QB,HOU,1107121,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,2.2,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.107121,0.09
Skylar Thompson,QB,PIT,1100000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-0.5,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.1,0.1
Zach Wilson,QB,MIA,6000000,0.0,nan,11.0,0.0,0.0,36.4,8.0,60.0,9.5,0.0,2.91,4.6,18.2,0.0,54.5,-0.49,-6.62,-0.24,6.1,2.31,-1.8,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,6.0,-4.8
Aidan OConnell,QB,LV,1087345,0.0,nan,22.0,0.0,0.0,30.4,102.0,59.3,16.4,4.35,4.22,8.6,0.0,4.2,0.0,-0.24,-5.86,0.16,8.36,2.49,0.7,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.087345,0.11
Kurtis Rourke,QB,SF,1083559,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,2.1,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.083559,0.12
Jimmy Garoppolo,QB,LAR,3005000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,0.0,0.0,2.4,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,3.005,-1.8
Joe Milton,QB,DAL,1050829,0.0,nan,24.0,4.2,8.3,45.8,45.8,65.1,53.2,0.0,4.71,10.3,8.3,0.0,33.3,-0.05,0.64,-2.09,11.13,2.6,-1.8,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.050829,0.15
Tommy Devito,QB,NE,1030000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-4.5,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,1.03,0.17
Sean Clifford,QB,CIN,234000,0.0,,0.0,0.0,0.0,0.0,,55.8,8.9,0.0,1.6660000000000004,4.8,14.510526315789477,18.19078947368421,22.1,0.0,0.0,0.0,7.579102564102565,2.556923076923077,-0.5,-2.7367171149442475,0.0,0,Rookie/Cheap,1.2,0.234,0.97
